state,candidate,total_votes
Alabama,Republican,1441168
Alabama,Democrat,849648
Alaska,Republican,189892
Alaska,Democrat,153405
Arizona,Republican,1661686
Arizona,Democrat,1672143
Arkansas,Republican,760647
Arkansas,Democrat,423932
California,Republican,6005961
California,Democrat,11109764
Colorado,Republican,1364607
Colorado,Democrat,1804352
Connecticut,Republican,715291
Connecticut,Democrat,1080680
Delaware,Republican,200603
Delaware,Democrat,296268
District of Columbia,Republican,18586
District of Columbia,Democrat,317323
Florida,Republican,5668731
Florida,Democrat,5297045
Georgia,Republican,2461854
Georgia,Democrat,2473633
Hawaii,Republican,196864
Hawaii,Democrat,366130
Idaho,Republican,554119
Idaho,Democrat,287021
Illinois,Republican,2823926
Illinois,Democrat,4253153
Indiana,Republican,1729852
Indiana,Democrat,1242495
Iowa,Republican,897672
Iowa,Democrat,759061
Kansas,Republican,758100
Kansas,Democrat,558669
Kentucky,Republican,1326646
Kentucky,Democrat,772474
Louisiana,Republican,1255776
Louisiana,Democrat,856034
Maine,Republican,359899
Maine,Democrat,430473
Maryland,Republican,976414
Maryland,Democrat,1985023
Massachusetts,Republican,1167202
Massachusetts,Democrat,2382202
Michigan,Republican,2649852
Michigan,Democrat,2804040
Minnesota,Republican,1484065
Minnesota,Democrat,1717077
Mississippi,Republican,756764
Mississippi,Democrat,539398
Missouri,Republican,1718736
Missouri,Democrat,1253014
Montana,Republican,343602
Montana,Democrat,244786
Nebraska,Republican,556846
Nebraska,Democrat,374583
Nevada,Republican,669890
Nevada,Democrat,703486
New Hampshire,Republican,365654
New Hampshire,Democrat,424921
New Jersey,Republican,1883274
New Jersey,Democrat,2608335
New Mexico,Republican,401894
New Mexico,Democrat,501614
New York,Republican,3250230
New York,Democrat,5244006
North Carolina,Republican,2758773
North Carolina,Democrat,2684292
North Dakota,Republican,235595
North Dakota,Democrat,114902
Ohio,Republican,3154834
Ohio,Democrat,2679165
Oklahoma,Republican,1020280
Oklahoma,Democrat,503890
Oregon,Republican,958448
Oregon,Democrat,1340383
Pennsylvania,Republican,3378263
Pennsylvania,Democrat,3459923
Rhode Island,Republican,199837
Rhode Island,Democrat,306210
South Carolina,Republican,1385103
South Carolina,Democrat,1091541
South Dakota,Republican,261043
South Dakota,Democrat,150471
Tennessee,Republican,1852948
Tennessee,Democrat,1143913
Texas,Republican,5890347
Texas,Democrat,5259126
Utah,Republican,865140
Utah,Democrat,560282
Vermont,Republican,112704
Vermont,Democrat,242820
Virginia,Republican,1962430
Virginia,Democrat,2413568
Washington,Republican,1584651
Washington,Democrat,2369612
West Virginia,Republican,545382
West Virginia,Democrat,235984
Wisconsin,Republican,1610065
Wisconsin,Democrat,1630673
Wyoming,Republican,193559
Wyoming,Democrat,73491
