created_at,likes_Democrat,likes_Republican,retweet_count_Democrat,retweet_count_Republican,tweet_Democrat,tweet_Republican
2020-10-15,319.0,160.0,153.0,62.0,110.0,125.0
2020-10-16,43635.0,254.0,6090.0,130.0,150.0,200.0
2020-10-17,2460.0,184.0,851.0,59.0,84.0,123.0
2020-10-18,366.0,898.0,177.0,609.0,112.0,136.0
2020-10-19,148.0,302.0,48.0,82.0,95.0,139.0
2020-10-20,122.0,229.0,34.0,59.0,103.0,139.0
2020-10-21,603.0,332.0,215.0,166.0,114.0,156.0
2020-10-22,924.0,360.0,270.0,147.0,139.0,148.0
2020-10-23,1195.0,2366.0,190.0,665.0,365.0,269.0
2020-10-24,1569.0,476.0,381.0,229.0,115.0,130.0
2020-10-25,627.0,715.0,185.0,340.0,143.0,134.0
2020-10-26,516.0,847.0,92.0,212.0,94.0,153.0
2020-10-27,113.0,2750.0,27.0,658.0,123.0,184.0
2020-10-28,290.0,1878.0,102.0,602.0,127.0,196.0
2020-10-29,236.0,493.0,66.0,208.0,99.0,156.0
2020-10-30,1479.0,6388.0,446.0,1438.0,110.0,167.0
2020-10-31,323.0,1022.0,92.0,264.0,136.0,158.0
2020-11-01,157.0,2116.0,28.0,691.0,150.0,203.0
2020-11-02,624.0,864.0,163.0,206.0,192.0,267.0
2020-11-03,2381.0,20527.0,420.0,2850.0,292.0,266.0
2020-11-04,2421.0,2656.0,239.0,705.0,315.0,292.0
2020-11-05,1070.0,939.0,144.0,368.0,163.0,253.0
2020-11-06,1522.0,1462.0,332.0,293.0,229.0,284.0
2020-11-07,4728.0,655.0,635.0,189.0,727.0,234.0
2020-11-08,17426.0,1728.0,1621.0,287.0,408.0,183.0
